kb,example_set,fold,zero_neg_train,n_train_pos,n_train_neg,n_test_pos,n_test_neg,n_test_total,negatives,condition,k,n_bias,size,desc_p,desc_r,desc_f1,clause_p,clause_r,clause_f1,sem_p,sem_r,sem_f1,exact_equiv,accuracy,tp,tn,fp,fn,specificity,n_mss,n_cover,n_support,n_kb,n_uncoverable,n_components,largest_component,n_greedy_fallback,stage1_ms,cover_ms,reduce_ms,total_ms,oracle_queries,stage1_batch_checks,checks_total,checks_gate,checks_admpool,checks_cover_rej,checks_cover_qx,checks_redundancy,preprocessing_checks,preprocessing_ms,memory_mb,convergence_reason,qa_max_queries,qa_timeout_s,quacq_bandaid_drops,quacq_findc_unconfirmed,quacq_empty_scope_appends,quacq_prune_partial_pruned,quacq_prune_complete_pruned
arcade-game,ff,0,0,11,3,6,2,8,reduced,C∪S,2,1755,49,0.6326530612244898,0.44285714285714284,0.5210084033613446,0.8024691358024691,0.5,0.6161137440758294,0.8351648351648352,0.5846153846153846,0.6877828054298644,0,0.875,5,2,0,1,1.0,893,1,109,49,0,1,532,1,21696.93556515267,529.891082958784,22.214624972548336,22249.041273084003,0,2702,5491,1,2701,2679,0,110,24,40.27625103481114,0.0,,,,,,,,
arcade-game,ff,0,0,11,3,6,2,8,reduced,C∪S,3,1755,33,0.8484848484848485,0.4,0.5436893203883495,0.9666666666666667,0.4461538461538462,0.6105263157894737,0.9850746268656716,0.5076923076923077,0.6700507614213197,0,1.0,6,2,0,0,1.0,893,1,58,33,0,1,532,1,21696.93556515267,529.891082958784,12.536957976408303,22239.363606087863,0,2702,5440,1,2701,2679,0,59,24,40.27625103481114,0.0,,,,,,,,
arcade-game,ff,0,0,11,3,6,2,8,reduced,C∪S,5,1755,32,0.84375,0.38571428571428573,0.5294117647058824,0.9661016949152542,0.43846153846153846,0.6031746031746031,0.9848484848484849,0.5,0.6632653061224489,0,1.0,6,2,0,0,1.0,893,1,57,32,0,1,532,1,21696.93556515267,529.891082958784,12.179584009572864,22239.006232121028,0,2702,5439,1,2701,2679,0,58,24,40.27625103481114,0.0,,,,,,,,
arcade-game,ff,0,0,11,3,6,2,8,raw,C,,1755,1,1.0,0.014285714285714285,0.028169014084507043,1.0,0.015384615384615385,0.030303030303030307,1.0,0.015384615384615385,0.030303030303030307,0,0.875,6,1,1,0,0.5,893,1,0,1,0,1,532,1,21291.944693541154,550.0791660160758,0.0,21842.02385955723,0,2702,5381,1,2701,2679,0,0,0,0.0,0.0,,,,,,,,
arcade-game,ff,0,0,11,3,6,2,8,raw,C∪S,1,1755,80,0.475,0.5428571428571428,0.5066666666666667,0.6612903225806451,0.6307692307692307,0.6456692913385826,0.7152777777777778,0.7923076923076923,0.7518248175182481,0,0.5,2,2,0,4,1.0,893,1,330,80,0,1,532,1,21291.944693541154,550.0791660160758,57.063458021730185,21899.08731757896,0,2702,5712,1,2701,2679,0,331,0,0.0,0.0,,,,,,,,
arcade-game,ff,0,0,11,3,6,2,8,raw,C∪S,2,1755,49,0.6326530612244898,0.44285714285714284,0.5210084033613446,0.8024691358024691,0.5,0.6161137440758294,0.8351648351648352,0.5846153846153846,0.6877828054298644,0,0.875,5,2,0,1,1.0,893,1,109,49,0,1,532,1,21291.944693541154,550.0791660160758,22.97041699057445,21864.994276547804,0,2702,5491,1,2701,2679,0,110,0,0.0,0.0,,,,,,,,
arcade-game,ff,0,0,11,3,6,2,8,raw,C∪S,3,1755,33,0.8484848484848485,0.4,0.5436893203883495,0.9666666666666667,0.4461538461538462,0.6105263157894737,0.9850746268656716,0.5076923076923077,0.6700507614213197,0,1.0,6,2,0,0,1.0,893,1,58,33,0,1,532,1,21291.944693541154,550.0791660160758,12.968791008461267,21854.99265056569,0,2702,5440,1,2701,2679,0,59,0,0.0,0.0,,,,,,,,
arcade-game,ff,0,0,11,3,6,2,8,raw,C∪S,5,1755,32,0.84375,0.38571428571428573,0.5294117647058824,0.9661016949152542,0.43846153846153846,0.6031746031746031,0.9848484848484849,0.5,0.6632653061224489,0,1.0,6,2,0,0,1.0,893,1,57,32,0,1,532,1,21291.944693541154,550.0791660160758,12.817999988328665,21854.84185954556,0,2702,5439,1,2701,2679,0,58,0,0.0,0.0,,,,,,,,
arcade-game,ff,1,0,11,3,6,2,8,n/a,A,,1755,776,0.08634020618556701,0.9571428571428572,0.15839243498817965,0.15945611866501855,0.9923076923076923,0.2747603833865815,0.1624685138539043,0.9923076923076923,0.2792207792207792,0,0.25,0,2,0,6,1.0,776,0,0,776,0,0,0,0,24541.51624784572,0.0,0.0,24541.51624784572,0,2867,2867,1,2866,0,0,0,0,0.0,0.0,,,,,,,,
arcade-game,ff,1,0,11,3,6,2,8,reduced,C,,1755,1,1.0,0.014285714285714285,0.028169014084507043,1.0,0.015384615384615385,0.030303030303030307,1.0,0.015384615384615385,0.030303030303030307,0,1.0,6,2,0,0,1.0,776,1,0,1,0,1,490,1,24541.51624784572,611.6811250103638,0.0,25153.197372856084,0,2867,5195,1,2866,2328,0,0,28,50.2729180152528,0.0,,,,,,,,
arcade-game,ff,1,0,11,3,6,2,8,reduced,C∪S,1,1755,88,0.4318181818181818,0.5428571428571428,0.4810126582278481,0.5968992248062015,0.5923076923076923,0.5945945945945946,0.6506849315068494,0.7307692307692307,0.6884057971014493,0,0.375,1,2,0,5,1.0,776,1,447,88,0,1,490,1,24541.51624784572,611.6811250103638,102.94400004204363,25256.141372898128,0,2867,5643,1,2866,2328,0,448,28,50.2729180152528,0.0,,,,,,,,
arcade-game,ff,1,0,11,3,6,2,8,reduced,C∪S,2,1755,43,0.6976744186046512,0.42857142857142855,0.5309734513274337,0.8571428571428571,0.46153846153846156,0.6,0.8875,0.5461538461538461,0.6761904761904761,0,0.75,4,2,0,2,1.0,776,1,90,43,0,1,490,1,24541.51624784572,611.6811250103638,25.762083008885384,25178.95945586497,0,2867,5286,1,2866,2328,0,91,28,50.2729180152528,0.0,,,,,,,,
arcade-game,ff,1,0,11,3,6,2,8,reduced,C∪S,3,1755,34,0.8235294117647058,0.4,0.5384615384615384,0.9508196721311475,0.4461538461538462,0.6073298429319371,0.9705882352941176,0.5076923076923077,0.6666666666666666,0,0.875,5,2,0,1,1.0,776,1,62,34,0,1,490,1,24541.51624784572,611.6811250103638,19.01308394735679,25172.21045680344,0,2867,5258,1,2866,2328,0,63,28,50.2729180152528,0.0,,,,,,,,
arcade-game,ff,1,0,11,3,6,2,8,reduced,C∪S,5,1755,33,0.8181818181818182,0.38571428571428573,0.5242718446601942,0.95,0.43846153846153846,0.6,0.9701492537313433,0.5,0.6598984771573605,0,0.875,5,2,0,1,1.0,776,1,61,33,0,1,490,1,24541.51624784572,611.6811250103638,20.004292018711567,25173.201664874796,0,2867,5257,1,2866,2328,0,62,28,50.2729180152528,0.0,,,,,,,,
arcade-game,ff,1,0,11,3,6,2,8,raw,C,,1755,1,1.0,0.014285714285714285,0.028169014084507043,1.0,0.015384615384615385,0.030303030303030307,1.0,0.015384615384615385,0.030303030303030307,0,1.0,6,2,0,0,1.0,776,1,0,1,0,1,490,1,28014.533179695718,569.9704160215333,0.0,28584.50359571725,0,2867,5195,1,2866,2328,0,0,0,0.0,0.0,,,,,,,,
arcade-game,ff,1,0,11,3,6,2,8,raw,C∪S,1,1755,88,0.4318181818181818,0.5428571428571428,0.4810126582278481,0.5968992248062015,0.5923076923076923,0.5945945945945946,0.6506849315068494,0.7307692307692307,0.6884057971014493,0,0.375,1,2,0,5,1.0,776,1,447,88,0,1,490,1,28014.533179695718,569.9704160215333,80.8850409812294,28665.38863669848,0,2867,5643,1,2866,2328,0,448,0,0.0,0.0,,,,,,,,
arcade-game,ff,1,0,11,3,6,2,8,raw,C∪S,2,1755,43,0.6976744186046512,0.42857142857142855,0.5309734513274337,0.8571428571428571,0.46153846153846156,0.6,0.8875,0.5461538461538461,0.6761904761904761,0,0.75,4,2,0,2,1.0,776,1,90,43,0,1,490,1,28014.533179695718,569.9704160215333,21.253166953101754,28605.756762670353,0,2867,5286,1,2866,2328,0,91,0,0.0,0.0,,,,,,,,
